,Unnamed: 0,blog,date_joined,followers,following,fullname,id,likes,lists,location,num_tweets
0,,ClinicalSim.com,4/1/2014 3:14,1800,436,الطب والمحاكاة #كلنا_مسؤول ... Clinical Sim,2421885032,416,4,"الرياض Riyadh, KSA",1175
0,,aviationanalyst.co.uk,9/17/2010 9:10,39447,4284,Alex Macheras,191881312,7416,2,"Usually at 38,000ft / London",26019
0,,kvrformp.org,1/27/2013 5:44,34822,81,Konda Vishweshwar Reddy,1125085620,6037,0,Hyderabad,2088
0,,atulkhatri.com,4/2/2009 23:16,2728479,470,Atul Khatri,28515858,3859,0,Mumbai,14913
0,,iyc.in,9/14/2013 6:10,19237,70,Jebi Mather,1863808681,18420,0,,5118
0,,facebook.com/NoteSnap/,3/13/2012 5:43,1719,313,𝗡 𝗢 𝗧 𝗘,523214627,2694,0,"Bang Kho Laem, Bangkok",12757
0,,prasarbharati.gov.in,9/25/2013 2:56,207449,116,Prasar Bharati,1903593750,518,1,"Copernicus Marg, New Delhi",17518
0,,,7/3/2019 22:10,6095,5851, 🇮🇩Mandau Borneo 🇮🇩,1.14665E+18,52339,0,"Kalimantan Barat, Indonesia",22644
0,,youtu.be/Cu-Gc6fROZw,2/15/2019 7:08,651,123,Haelyn Shastri,1.09643E+18,872,0,"Dubai, United Arab Emirates",396
0,,,7/3/2010 20:42,51,580,weird soul  ⚡,162591118,9257,0,India,9476
0,,srijanpalsingh.in,1/7/2010 1:11,31678,2080,Srijan Pal Singh Kalam  🇮🇳,102625402,9537,0,Bharat,8456
0,,zu.ac.ae,8/4/2010 22:41,87527,217,جامعة زايد,174939000,15521,1,United Arab Emirates,15010
0,,instagram.com/manateedugong/,8/1/2009 21:12,191,363,Kay Phanþuwongpakdee,62193226,345,0,"Bangkok, Thailand",2373
0,,mbahmijan.com,12/18/2010 1:32,114706,71,Mbah Mijan,227961909,2353,0,Paranormal - Tangerang,44652
0,,instagram.com/shaikhhamzaims/,12/24/2019 3:34,2726,1550,Shaikh Hamza,1.20944E+18,3542,0,"Vapi, India",354
0,,instagram.com/tv/B47VcDdFajD…,8/23/2009 5:58,43955,657,Onir,68138422,34745,0,"ÜT: 19.138741,72.820079",38028
0,,instagram.com/imandriadsouza,4/22/2010 4:28,62132,2098,RiA D'Souza,135848667,85608,5,वॉर्डन रोड Mumbai / Mangaluru,41783
0,,,1/21/2018 2:38,22929,15273,DingZhaoJie 丁肇潔,9.55027E+17,16033,1,Pakistan,7560
0,,,12/4/2012 21:24,4417,257,David M. Beasley,990241854,713,0,"Society Hill, SC",1278
0,,,2/25/2013 23:36,133,160,Sanjay Srivastava (BJP),1220770501,6530,0,New Delhi,24974
0,,facebook.com/journo.pku,2/15/2012 4:02,29968,1618,Prashant Kumar,493059410,14671,0,New Delhi| Lucknow| Patna,26099
0,,,2/18/2018 5:42,721,49,Puneri Akkians,9.6522E+17,4972,0,"Pune, India",967
